Round,Team 1,FT,Team 2
2,Club América,02-Jan,CF Monterrey
1,Monarcas Morelia,0-1,Deportivo Toluca FC
1,Club Tijuana,02-Jan,Santos Laguna
1,Cruz Azul,01-Feb,Club Atlas
1,CD Guadalajara Chivas,2-0,FC Juárez
1,Club León,03-Jan,Querétaro FC
1,Tigres UANL,0-0,Atlético San Luis
1,Pumas UNAM,02-Jan,CF Pachuca
1,FC Juárez,04-Apr,Pumas UNAM
1,Club Atlas,0-1,Club Puebla
1,Atlético San Luis,02-Jan,Cruz Azul
1,CF Pachuca,0-0,CD Guadalajara Chivas
1,CF Monterrey,02-Feb,Monarcas Morelia
1,Club América,1-0,Tigres UANL
1,Santos Laguna,03-Feb,Club León
1,Querétaro FC,3-0,Club Tijuana
1,Deportivo Toluca FC,02-Mar,Club Necaxa
1,Club Puebla,0-1,Querétaro FC
1,Club Tijuana,0-0,Club América
1,CD Guadalajara Chivas,02-Feb,Deportivo Toluca FC
1,Club León,3-0,CF Pachuca
1,Tigres UANL,02-Jan,Club Atlas
1,Cruz Azul,3-0,Santos Laguna
1,FC Juárez,3-0,Monarcas Morelia
1,Pumas UNAM,1-0,CF Monterrey
1,Club Necaxa,01-Jan,Atlético San Luis
1,Club Atlas,02-Jan,Club Tijuana
1,Atlético San Luis,02-Feb,CD Guadalajara Chivas
1,Santos Laguna,01-Jan,Pumas UNAM
1,Club América,01-Mar,FC Juárez
1,Monarcas Morelia,01-Feb,Club León
1,CF Monterrey,01-Feb,Querétaro FC
1,CF Pachuca,2-0,Tigres UANL
1,Club Necaxa,2-0,Club Puebla
1,Deportivo Toluca FC,03-Mar,Cruz Azul
1,Club Puebla,0-1,Club América
1,Club Necaxa,02-Feb,CF Monterrey
1,Club Atlas,01-Mar,Monarcas Morelia
1,Club Puebla,02-Feb,Santos Laguna
1,Club Tijuana,01-Jan,Deportivo Toluca FC
1,Club León,03-Jan,CF Monterrey
1,Tigres UANL,3-0,CD Guadalajara Chivas
1,Cruz Azul,03-Jan,CF Pachuca
1,Pumas UNAM,4-0,Atlético San Luis
1,Querétaro FC,01-Feb,Club América
1,FC Juárez,02-Jan,Club Necaxa
1,Atlético San Luis,03-Jan,Club León
1,Monarcas Morelia,01-Jan,Club Tijuana
1,CF Pachuca,1-0,Club Puebla
1,CD Guadalajara Chivas,01-Feb,Cruz Azul
1,Club América,2-0,Club Atlas
1,CF Monterrey,01-Jan,FC Juárez
1,Deportivo Toluca FC,02-Mar,Pumas UNAM
1,Club Necaxa,02-Mar,Querétaro FC
1,Santos Laguna,02-Jan,Tigres UANL
1,Club Atlas,0-2,CF Pachuca
1,Club Tijuana,0-1,CD Guadalajara Chivas
1,Club Puebla,2-0,Deportivo Toluca FC
1,CF Monterrey,0-1,Club América
1,Cruz Azul,02-Jan,Tigres UANL
